Date/Time UTC,Lat,Long,Pressure_mb,Speed_kt,Category,LatLong,Tip
8-16-92,15.496881,73.824256,1010,25,Tropical Depression,,Tropical Depression<BR>Pressure=1010<BR>Speed=25
8-17-92,15.495377,73.831004,1009,30,Tropical Depression,,Tropical Depression<BR>Pressure=1009<BR>Speed=30
8-17-92,15.276398,73.957082,1008,30,Tropical Depression,,Tropical Depression<BR>Pressure=1008<BR>Speed=30
8-17-92,15.392054,73.832226,1006,35,Tropical Storm,,Tropical Storm<BR>Pressure=1006<BR>Speed=35
8-17-92,15.426555,73.904977,1003,35,Tropical Storm,,Tropical Storm<BR>Pressure=1003<BR>Speed=35
8-18-92,15.49842,73.823002,1002,40,Tropical Storm,,Tropical Storm<BR>Pressure=1002<BR>Speed=40
8-18-92,15.58932,73.872946,1001,45,Tropical Storm,,Tropical Storm<BR>Pressure=1001<BR>Speed=45
8-18-92,15.497485,73.823088,1000,45,Tropical Storm,,Tropical Storm<BR>Pressure=1000<BR>Speed=45
8-18-92,15.306881,73.911828,1000,45,Tropical Storm,,Tropical Storm<BR>Pressure=1000<BR>Speed=45
8-19-92,15.490336,73.826517,1001,45,Tropical Storm,,Tropical Storm<BR>Pressure=1001<BR>Speed=45
8-19-92,15.489054,73.827589,1002,45,Tropical Storm,,Tropical Storm<BR>Pressure=1002<BR>Speed=45
8-19-92,15.509458,73.827475,1005,45,Tropical Storm,,Tropical Storm<BR>Pressure=1005<BR>Speed=45
8-19-92,15.402823,73.797173,1007,45,Tropical Storm,,Tropical Storm<BR>Pressure=1007<BR>Speed=45
8-20-92,15.524968,73.836082,1011,40,Tropical Storm,,Tropical Storm<BR>Pressure=1011<BR>Speed=40
8-20-92,15.402222,73.999444,1013,40,Tropical Storm,,Tropical Storm<BR>Pressure=1013<BR>Speed=40
8-20-92,15.399789,73.817898,1015,40,Tropical Storm,,Tropical Storm<BR>Pressure=1015<BR>Speed=40
8-20-92,15.589881,73.814235,1014,40,Tropical Storm,,Tropical Storm<BR>Pressure=1014<BR>Speed=40
8-21-92,15.581933,73.745842,1014,45,Tropical Storm,,Tropical Storm<BR>Pressure=1014<BR>Speed=45
8-21-92,15.595603,73.808551,1010,45,Tropical Storm,,Tropical Storm<BR>Pressure=1010<BR>Speed=45
8-21-92,15.268939,73.966073,1007,50,Tropical Storm,,Tropical Storm<BR>Pressure=1007<BR>Speed=50
8-21-92,15.270798,73.970459,1004,50,Tropical Storm,,Tropical Storm<BR>Pressure=1004<BR>Speed=50
8-22-92,15.299771,73.975196,1000,55,Tropical Storm,,Tropical Storm<BR>Pressure=1000<BR>Speed=55
8-22-92,15.573632,73.767244,994,60,Tropical Storm,,Tropical Storm<BR>Pressure=994<BR>Speed=60
8-22-92,15.597341,73.777049,981,70,Hurricane,,Hurricane<BR>Pressure=981<BR>Speed=70
8-22-92,15.4966,73.824766,969,80,Hurricane,,Hurricane<BR>Pressure=969<BR>Speed=80
8-23-92,15.602678,73.804986,961,90,Hurricane,,Hurricane<BR>Pressure=961<BR>Speed=90
8-23-92,15.500166,73.826482,947,105,Hurricane,,Hurricane<BR>Pressure=947<BR>Speed=105
8-23-92,15.283466,73.962887,933,120,Hurricane,,Hurricane<BR>Pressure=933<BR>Speed=120
8-23-92,15.608162,73.75197,922,135,Hurricane,,Hurricane<BR>Pressure=922<BR>Speed=135
8-24-92,15.560241,73.755749,930,125,Hurricane,,Hurricane<BR>Pressure=930<BR>Speed=125
8-24-92,15.394962,73.806709,937,120,Hurricane,,Hurricane<BR>Pressure=937<BR>Speed=120
8-24-92,15.48953,73.908389,951,110,Hurricane,,Hurricane<BR>Pressure=951<BR>Speed=110
8-24-92,15.151993,74.020316,947,115,Hurricane,,Hurricane<BR>Pressure=947<BR>Speed=115
