_id.dl_date,_id.dl_cl,dl_count
32,"Snapdeal",1776.0
33,"Snapdeal",2094.0
34,"Snapdeal",2153.0
35,"Snapdeal",2046.0
36,"Snapdeal",1999.0
37,"Snapdeal",1931.0
38,"Snapdeal",1842.0
39,"Snapdeal",1470.0
40,"Snapdeal",2010.0
41,"Snapdeal",1953.0
42,"Snapdeal",1930.0
43,"Snapdeal",1896.0
44,"Snapdeal",1903.0
45,"Snapdeal",1786.0
46,"Snapdeal",1214.0
47,"Snapdeal",1916.0
48,"Snapdeal",1821.0
49,"Snapdeal",1825.0
50,"Snapdeal",1842.0
51,"Snapdeal",1836.0
52,"Snapdeal",1839.0
53,"Snapdeal",1044.0
54,"Snapdeal",1879.0
55,"Snapdeal",1726.0
56,"Snapdeal",1682.0
57,"Snapdeal",1762.0
58,"Snapdeal",1850.0
59,"Snapdeal",1845.0
60,"Snapdeal",1257.0
61,"Snapdeal",1877.0
62,"Snapdeal",1846.0
63,"Snapdeal",1763.0
64,"Snapdeal",1778.0
65,"Snapdeal",1097.0
66,"Snapdeal",1932.0
67,"Snapdeal",1346.0
68,"Snapdeal",1929.0
69,"Snapdeal",1872.0
70,"Snapdeal",1858.0
71,"Snapdeal",1833.0
72,"Snapdeal",224.0
