_id.dl_date,_id.deltaHr,dl_count
32,"<2",21869.0
32,"<4",10967.0
32,"<8",2249.0
32,">8",2493.0
33,"<2",42886.0
33,"<4",9046.0
33,"<8",5700.0
33,">8",13261.0
34,"<2",63006.0
34,"<4",14166.0
34,"<8",6785.0
34,">8",9036.0
35,"<2",44118.0
35,"<4",11125.0
35,"<8",4606.0
35,">8",11924.0
36,"<2",44257.0
36,"<4",11792.0
36,"<8",3932.0
36,">8",7675.0
37,"<2",44533.0
37,"<4",11363.0
37,"<8",5621.0
37,">8",6457.0
38,"<2",31582.0
38,"<4",9194.0
38,"<8",3774.0
38,">8",6793.0
39,"<2",23970.0
39,"<4",5049.0
39,"<8",1955.0
39,">8",4019.0
40,"<2",46012.0
40,"<4",10130.0
40,"<8",6119.0
40,">8",18292.0
41,"<2",49019.0
41,"<4",14122.0
41,"<8",4676.0
41,">8",11157.0
42,"<2",38515.0
42,"<4",9615.0
42,"<8",6111.0
42,">8",7814.0
43,"<2",40736.0
43,"<4",8682.0
43,"<8",4987.0
43,">8",8804.0
44,"<2",38854.0
44,"<4",9414.0
44,"<8",4598.0
44,">8",6563.0
45,"<2",38670.0
45,"<4",6634.0
45,"<8",3603.0
45,">8",5354.0
46,"<2",17642.0
46,"<4",4929.0
46,"<8",1359.0
46,">8",6814.0
47,"<2",35292.0
47,"<4",10794.0
47,"<8",6801.0
47,">8",9470.0
48,"<2",42273.0
48,"<4",11194.0
48,"<8",6164.0
48,">8",8398.0
49,"<2",42018.0
49,"<4",9244.0
49,"<8",3856.0
49,">8",11057.0
50,"<2",36841.0
50,"<4",14282.0
50,"<8",5386.0
50,">8",10099.0
51,"<2",34844.0
51,"<4",9278.0
51,"<8",3495.0
51,">8",9266.0
52,"<2",39697.0
52,"<4",8937.0
52,"<8",2821.0
52,">8",8078.0
53,"<2",15328.0
53,"<4",3217.0
53,"<8",1481.0
53,">8",4686.0
54,"<2",38824.0
54,"<4",8209.0
54,"<8",5377.0
54,">8",9495.0
55,"<2",38234.0
55,"<4",8590.0
55,"<8",5955.0
55,">8",11649.0
56,"<2",33370.0
56,"<4",10808.0
56,"<8",4339.0
56,">8",6436.0
57,"<2",37193.0
57,"<4",8745.0
57,"<8",4442.0
57,">8",8352.0
58,"<2",38608.0
58,"<4",8345.0
58,"<8",3180.0
58,">8",8862.0
59,"<2",35606.0
59,"<4",9324.0
59,"<8",4953.0
59,">8",8448.0
60,"<2",19456.0
60,"<4",3466.0
60,"<8",1243.0
60,">8",4003.0
61,"<2",37190.0
61,"<4",8171.0
61,"<8",4534.0
61,">8",9285.0
62,"<2",39000.0
62,"<4",8975.0
62,"<8",6383.0
62,">8",8181.0
63,"<2",32866.0
63,"<4",8490.0
63,"<8",4122.0
63,">8",6165.0
64,"<2",34259.0
64,"<4",9643.0
64,"<8",4478.0
64,">8",7059.0
65,"<2",8254.0
65,"<4",3982.0
65,"<8",1395.0
65,">8",2990.0
66,"<2",33282.0
66,"<4",9559.0
66,"<8",4027.0
66,">8",3366.0
67,"<2",17133.0
67,"<4",6953.0
67,"<8",2448.0
67,">8",5062.0
68,"<2",38517.0
68,"<4",10341.0
68,"<8",5877.0
68,">8",10580.0
69,"<2",34699.0
69,"<4",17273.0
69,"<8",7365.0
69,">8",8289.0
70,"<2",35677.0
70,"<4",14421.0
70,"<8",7786.0
70,">8",13804.0
71,"<2",32627.0
71,"<4",13828.0
71,"<8",8823.0
71,">8",7146.0
72,"<2",6491.0
72,"<4",3787.0
72,"<8",371.0
