_id.dl_date,_id.eb_br,dl_count
32,,2246.0
32,,12605.0
32,,22239.0
32,,4.0
32,,84.0
32,,6.0
32,,56.0
32,,146.0
32,,14.0
32,,178.0
33,,5968.0
33,,24047.0
33,,40066.0
33,,44.0
33,,183.0
33,,12.0
33,,107.0
33,,1.0
33,,198.0
33,,12.0
33,,1.0
33,,220.0
33,,1.0
34,,8983.0
34,,33818.0
34,,49144.0
34,,21.0
34,,182.0
34,,21.0
34,,158.0
34,,19.0
34,,349.0
34,,7.0
34,,1.0
34,,285.0
35,,6964.0
35,,25969.0
35,,38190.0
35,,108.0
35,,155.0
35,,12.0
35,,60.0
35,,191.0
35,,1.0
35,,13.0
35,,107.0
36,,7192.0
36,,24934.0
36,,34986.0
36,,74.0
36,,131.0
36,,20.0
36,,53.0
36,,1.0
36,,217.0
36,,5.0
36,,27.0
36,,1.0
36,,1.0
37,,6217.0
37,,25580.0
37,,35414.0
37,,48.0
37,,184.0
37,,63.0
37,,98.0
37,,61.0
37,,197.0
37,,1.0
37,,13.0
37,,1.0
37,,43.0
37,,2.0
37,,5.0
37,,1.0
38,,3994.0
38,,17513.0
38,,29109.0
38,,7.0
38,,175.0
38,,68.0
38,,55.0
38,,68.0
38,,257.0
38,,37.0
38,,2.0
38,,3.0
38,,47.0
39,,3260.0
39,,14008.0
39,,17257.0
39,,15.0
39,,53.0
39,,14.0
39,,14.0
39,,231.0
39,,95.0
39,,4.0
39,,36.0
40,,8396.0
40,,28917.0
40,,41648.0
40,,145.0
40,,266.0
40,,1.0
40,,4.0
40,,2.0
40,,89.0
40,,8.0
40,,573.0
40,,25.0
40,,2.0
40,,1.0
40,,69.0
40,,384.0
41,,6666.0
41,,28636.0
41,,42073.0
41,,160.0
41,,291.0
41,,1.0
41,,7.0
41,,555.0
41,,24.0
41,,8.0
41,,7.0
41,,76.0
41,,457.0
42,,5120.0
42,,22284.0
42,,33742.0
42,,125.0
42,,149.0
42,,2.0
42,,10.0
42,,488.0
42,,34.0
42,,62.0
42,,31.0
43,,5514.0
43,,21523.0
43,,35465.0
43,,98.0
43,,113.0
43,,4.0
43,,1.0
43,,7.0
43,,2.0
43,,391.0
43,,52.0
43,,17.0
44,,5259.0
44,,21503.0
44,,32153.0
44,,39.0
44,,219.0
44,,40.0
44,,196.0
44,,12.0
45,,4623.0
45,,19577.0
45,,29748.0
45,,25.0
45,,249.0
45,,2.0
45,,6.0
45,,2.0
46,,2033.0
46,,9932.0
46,,18742.0
46,,15.0
46,,19.0
46,,3.0
47,,5500.0
47,,20386.0
47,,36340.0
47,,43.0
47,,44.0
47,,7.0
47,,21.0
48,,5719.0
48,,25991.0
48,,36009.0
48,,79.0
48,,166.0
48,,9.0
48,,5.0
49,,6163.0
49,,24859.0
49,,35013.0
49,,55.0
49,,36.0
49,,24.0
49,,8.0
49,,2.0
50,,6352.0
50,,25316.0
50,,34543.0
50,,185.0
50,,138.0
50,,39.0
50,,5.0
51,,5191.0
51,,21331.0
51,,30085.0
51,,61.0
51,,71.0
51,,67.0
51,,16.0
52,,5952.0
52,,22170.0
52,,31357.0
52,,2.0
52,,3.0
52,,42.0
53,,1965.0
53,,9990.0
53,,12747.0
53,,2.0
53,,8.0
54,,5084.0
54,,21520.0
54,,35136.0
54,,49.0
54,,62.0
54,,2.0
54,,1.0
55,,6295.0
55,,23355.0
55,,34700.0
55,,30.0
55,,40.0
55,,1.0
55,,2.0
56,,4969.0
56,,22285.0
56,,27602.0
56,,40.0
56,,32.0
56,,1.0
57,,5714.0
57,,22206.0
57,,30707.0
57,,66.0
57,,32.0
57,,1.0
58,,5171.0
58,,23201.0
58,,30578.0
58,,29.0
58,,10.0
58,,2.0
59,,5075.0
59,,20611.0
59,,32608.0
59,,13.0
59,,13.0
59,,3.0
59,,4.0
60,,2265.0
60,,11206.0
60,,14690.0
60,,2.0
60,,1.0
61,,5229.0
61,,22101.0
61,,31686.0
61,,73.0
61,,60.0
61,,12.0
61,,8.0
62,,5479.0
62,,22972.0
62,,33916.0
62,,97.0
62,,50.0
62,,12.0
62,,3.0
63,,5660.0
63,,19414.0
63,,26426.0
63,,73.0
63,,33.0
63,,6.0
63,,1.0
63,,1.0
64,,5039.0
64,,21025.0
64,,29247.0
64,,59.0
64,,29.0
64,,18.0
64,,4.0
65,,2060.0
65,,6862.0
65,,7682.0
65,,9.0
65,,5.0
65,,2.0
66,,3483.0
66,,21002.0
66,,25636.0
66,,20.0
66,,34.0
66,,29.0
66,,1.0
66,,5.0
66,,1.0
66,,2.0
67,,3598.0
67,,11943.0
67,,15972.0
67,,7.0
67,,27.0
67,,5.0
67,,37.0
68,,4913.0
68,,26827.0
68,,32990.0
68,,68.0
68,,299.0
68,,11.0
68,,27.0
68,,30.0
68,,6.0
68,,10.0
69,,5680.0
69,,27081.0
69,,34316.0
69,,34.0
69,,355.0
69,,3.0
69,,38.0
69,,11.0
69,,27.0
69,,16.0
69,,1.0
70,,5982.0
70,,25816.0
70,,39474.0
70,,202.0
70,,158.0
70,,4.0
71,,4951.0
71,,23492.0
71,,33510.0
71,,90.0
71,,92.0
72,,1558.0
72,,4408.0
72,,4658.0
