_id.dl_date,_id.pdd_br,dl_count
32,2,2250.0
32,3,12610.0
32,4,22718.0
33,1,5988.0
33,2,24094.0
33,3,40778.0
34,1,8993.0
34,2,33839.0
34,3,50156.0
35,1,6978.0
35,2,26079.0
35,3,38712.0
35,6,1.0
36,1,7222.0
36,2,25008.0
36,4,35412.0
37,1,6225.0
37,3,25691.0
37,4,36012.0
38,2,4003.0
38,3,17589.0
38,4,29743.0
39,2,3262.0
39,3,14023.0
39,4,17702.0
40,1,8429.0
40,2,29062.0
40,3,43039.0
41,1,6678.0
41,2,28788.0
41,3,43495.0
42,1,5138.0
42,2,22414.0
42,3,34495.0
43,1,5544.0
43,2,21621.0
43,4,36022.0
44,1,5273.0
44,3,21545.0
44,4,32603.0
45,2,4628.0
45,3,19606.0
45,4,29998.0
46,2,2039.0
46,3,9940.0
46,4,18765.0
47,1,5526.0
47,2,20412.0
47,3,36403.0
48,1,5756.0
48,2,26064.0
48,3,36158.0
49,1,6176.0
49,2,24912.0
49,3,35072.0
50,1,6400.0
50,2,25499.0
50,4,34678.0
50,5,1.0
51,1,5213.0
51,3,21392.0
51,4,30217.0
52,2,5952.0
52,3,22171.0
52,4,31402.0
52,5,1.0
53,2,1965.0
53,3,9990.0
53,4,12757.0
54,1,5109.0
54,2,21564.0
54,3,35181.0
55,1,6331.0
55,2,23380.0
55,3,34711.0
55,4,1.0
56,1,4988.0
56,2,22327.0
56,3,27614.0
57,1,5752.0
57,2,22274.0
57,4,30699.0
57,5,1.0
58,1,5190.0
58,3,23229.0
58,4,30572.0
59,2,5082.0
59,3,20626.0
59,4,32619.0
60,2,2267.0
60,3,11208.0
60,4,14689.0
61,1,5253.0
61,2,22186.0
61,3,31730.0
62,1,5497.0
62,2,23078.0
62,3,33953.0
62,4,1.0
63,1,5666.0
63,2,19487.0
63,3,26461.0
64,1,5051.0
64,2,21083.0
64,4,29287.0
65,1,2074.0
65,3,6871.0
65,4,7675.0
66,2,3494.0
66,3,21032.0
66,4,25686.0
66,5,1.0
67,2,3611.0
67,3,11961.0
67,4,16017.0
68,1,4960.0
68,2,26928.0
68,3,33293.0
69,1,5694.0
69,2,27180.0
69,3,34688.0
70,1,5986.0
70,2,26018.0
70,3,39632.0
71,1,4951.0
71,2,23582.0
71,4,33602.0
72,1,1558.0
72,3,4408.0
72,4,4658.0
